1,120161098270,1
2,120161097596,2
4,120161098282,4
5,120161098913,5
8,120161098283,7
9,120161096994,8
10,120161097601,9
11,120161097594,10
12,120161096993,11
13,120161098915,1
14,120161098273,12
15,120161100705,13
16,120161099593,5
17,120161098912,7
18,120161099588,14
19,120161098918,15
20,120161099596,5
21,120161098271,16
22,120161099592,17
23,120161098279,18
24,120161098278,16
25,120161098274,13
26,120161098281,5
27,120161098286,5
29,120161099591,18
30,120161098276,8
31,120161098911,9
32,120161098277,9
33,120161098272,19
34,120161099595,20
35,120161098914,9
36,120161097600,21
37,120161099590,22
38,120161098269,23
39,120161098916,24
41,120161096992,25
42,120161099589,26
43,120161098917,27
44,120161097597,27
45,4177163383439439306,28
46,4288705145970819651,29
47,5698690589939033600,30
48,1839047909490587756,31
49,2203587362081358853,32
50,9045121458275361142,33
51,6524765076602459828,34
52,62259579524865302,5
53,4653846676334133280,20
54,3276406191882526452,35
55,6795157192647884356,36
56,9138919356339005917,37
57,3796368124328114563,21
58,6755861329765792116,8
59,7627492311290515933,7
60,7723464492491542480,16
62,8379639374262808629,38
63,4194832972137276406,39
64,5376127029631933391,40
65,5156260359744265966,14
66,2597281939872344197,41
67,8149419580600199176,42
68,5757249261469525666,6
69,8834877423453826522,43
70,5530383701116717674,13
71,1829787117992714882,44
72,643578190305470658,38
73,1155647865207293153,21
74,3534987254199772523,45
75,4333494757063114788,33
76,8709496951655496594,19
77,4914113212350435368,36
78,2302758858962929468,46
79,5160650380234366674,47
80,4816691378938329028,18
82,4034281968644023385,48
83,4235317173656887601,9
84,120171146102,18
85,120171144813,5
86,120171144808,49
87,120171144811,49
88,120171146591,40
89,120171144807,7
90,120171146086,50
91,120171146097,6
92,120171144160,1
93,120171144810,51
94,120171144812,51
96,120171146100,20
97,120171144159,43
98,120171144809,18
99,120171146101,52
100,120171144158,5
101,120171146084,36
102,120171145429,53
103,120171146171,12
104,120171146731,11
105,120171146729,48
106,120171145428,48
107,120171146099,54
108,120171176386,25
109,120171144157,24
110,120171144797,24
111,120171144795,55
112,120171144796,2
113,120171146087,9
114,120171146098,56
116,120171146103,38
117,120171144149,37
118,120171145197,37
119,120171144150,9
120,120171146734,7
121,120171144147,5
122,120171146104,16
123,120171147171,57
124,120171146085,7
125,120191195905,58
126,120191195904,59
127,120191196517,36
128,120191195902,60
130,120191194672,36
131,120191194677,62
132,120191195900,7
133,120191195909,20
134,120191195282,9
135,120191194675,63
137,120191195907,42
138,120191195910,64
139,120191195908,65
140,120191194680,32
141,120191196518,40
142,120191195280,40
143,120191195271,33
145,120191194101,4
146,120191194100,66
147,120191197142,67
148,120191196516,6
150,120191197140,6
151,120191194673,68
152,120191194099,64
153,120191195903,8
155,120191196513,64
157,120191196511,58
158,120191196510,14
159,120191195906,10
160,120191197137,48
161,120191195901,46
162,120191198454,69
163,120191197326,70
164,120191195279,71
165,120191197453,72
166,8315814033222526719,53
167,111266318571232242,7
168,1591336570856302878,73
169,3371544366929633091,5
170,4667221761693602624,7
171,2761693210937470654,14
172,8630926704786439233,7
173,6582863236751453984,9
174,3964512558788443907,53
175,8482966606280165005,74
176,2727401487270338568,75
177,715005377034341537,3
178,8095845183267998344,9
179,6357452486556465819,13
180,2395311090868625458,76
181,4903086375301732167,63
182,6606114305422294081,1
183,7791393452146762915,9
